listener,artist,genre,region,minutes,day,month,year,date,premium
Dee,Marisol,Classical,EU,204,21,8,2023,2023-08-21,False
Gus,Vantablack,Rock,US,26,7,1,2021,2021-01-07,False
Cy,Marisol,Classical,UK,23,14,8,2022,2022-08-14,True
Fay,Riftwave,Rock,US,148,12,12,2023,2023-12-12,True
Dee,Grův,Pop,US,7,17,8,2023,2023-08-17,True
Ada,Nova,Pop,JP,180,27,10,2022,2022-10-27,False
Eli,Riftwave,Rock,EU,220,29,12,2023,2023-12-29,True
Ada,Blue Ember,Jazz,JP,181,17,3,2022,2022-03-17,False
Hana,Blue Ember,Jazz,UK,56,1,11,2022,2022-11-01,True
Eli,Riftwave,Rock,UK,46,19,8,2022,2022-08-19,True
Cy,Nova,Pop,UK,164,21,2,2021,2021-02-21,False
Dee,Sol Fina,Pop,US,15,14,2,2021,2021-02-14,False
Eli,Grův,Pop,US,130,10,9,2023,2023-09-10,True
Cy,Riftwave,Rock,UK,108,10,7,2021,2021-07-10,False
Cy,Blue Ember,Jazz,US,179,24,1,2022,2022-01-24,True
Dee,Vantablack,Rock,JP,49,14,11,2022,2022-11-14,True
Cy,Grův,Pop,US,183,23,9,2022,2022-09-23,True
Gus,Sol Fina,Pop,US,168,18,7,2022,2022-07-18,False
Ada,Echo Park,HipHop,EU,58,9,12,2023,2023-12-09,False
Gus,Vantablack,Rock,US,86,12,5,2023,2023-05-12,True
Cy,Marisol,Classical,JP,16,29,10,2023,2023-10-29,False
Eli,Riftwave,Rock,EU,108,23,12,2022,2022-12-23,False
Ben,The Larks,Jazz,US,63,9,12,2023,2023-12-09,False
Dee,The Larks,Jazz,EU,28,21,10,2022,2022-10-21,False
Gus,Nova,Pop,UK,135,17,8,2022,2022-08-17,False
Cy,Echo Park,HipHop,EU,137,12,6,2023,2023-06-12,False
Ben,Nova,Pop,EU,21,10,8,2023,2023-08-10,True
Eli,Echo Park,HipHop,EU,45,16,3,2021,2021-03-16,False
Ben,The Larks,Jazz,UK,20,25,9,2023,2023-09-25,False
Cy,Riftwave,Rock,US,163,27,1,2023,2023-01-27,False
Dee,Marisol,Classical,EU,82,10,9,2023,2023-09-10,False
Eli,Riftwave,Rock,JP,18,23,2,2023,2023-02-23,True
Fay,Vantablack,Rock,UK,46,12,10,2023,2023-10-12,False
Fay,Grův,Pop,EU,235,29,10,2021,2021-10-29,True
Gus,Nova,Pop,UK,62,25,7,2021,2021-07-25,False
Ada,K.Low,HipHop,EU,165,3,8,2021,2021-08-03,True
Cy,Grův,Pop,JP,113,4,10,2021,2021-10-04,True
Ada,K.Low,HipHop,US,44,23,8,2021,2021-08-23,False
Ada,Riftwave,Rock,US,74,29,4,2022,2022-04-29,False
Ben,Marisol,Classical,UK,4,5,8,2021,2021-08-05,False
Eli,Vantablack,Rock,UK,180,23,6,2021,2021-06-23,False
Hana,Sol Fina,Pop,UK,81,28,7,2022,2022-07-28,True
Gus,K.Low,HipHop,US,120,19,5,2023,2023-05-19,False
Fay,Grův,Pop,UK,37,29,5,2021,2021-05-29,True
Gus,Vantablack,Rock,UK,198,14,7,2022,2022-07-14,False
Ben,Blue Ember,Jazz,UK,53,23,12,2022,2022-12-23,False
Gus,Grův,Pop,EU,136,12,2,2023,2023-02-12,True
Hana,Grův,Pop,EU,210,26,4,2021,2021-04-26,False
Ada,Marisol,Classical,UK,172,15,3,2023,2023-03-15,False
Dee,Nova,Pop,EU,145,30,1,2021,2021-01-30,True
Gus,Vantablack,Rock,UK,214,17,9,2021,2021-09-17,False
Dee,Vantablack,Rock,UK,43,16,12,2021,2021-12-16,False
Gus,Riftwave,Rock,UK,232,24,7,2023,2023-07-24,True
Hana,Sol Fina,Pop,US,134,30,7,2021,2021-07-30,False
Dee,The Larks,Jazz,US,99,7,5,2023,2023-05-07,True
Ada,Riftwave,Rock,UK,62,19,12,2023,2023-12-19,True
Cy,Echo Park,HipHop,EU,179,18,11,2023,2023-11-18,False
Ben,Riftwave,Rock,EU,235,28,11,2021,2021-11-28,True
Dee,Echo Park,HipHop,US,166,15,4,2021,2021-04-15,True
Eli,Marisol,Classical,UK,8,1,9,2021,2021-09-01,False
Dee,Nova,Pop,US,113,22,4,2023,2023-04-22,True
Ben,Grův,Pop,EU,176,4,8,2021,2021-08-04,False
Cy,Riftwave,Rock,EU,96,8,12,2022,2022-12-08,False
Fay,Vantablack,Rock,UK,186,14,2,2022,2022-02-14,True
Ada,Riftwave,Rock,UK,170,20,4,2023,2023-04-20,False
Ben,Grův,Pop,US,17,26,10,2022,2022-10-26,True
Hana,Echo Park,HipHop,UK,134,4,10,2022,2022-10-04,False
Ada,The Larks,Jazz,EU,42,7,5,2023,2023-05-07,True
Dee,Marisol,Classical,EU,117,12,11,2023,2023-11-12,False
Ben,Marisol,Classical,UK,93,4,2,2022,2022-02-04,True
Ada,Sol Fina,Pop,US,194,3,8,2022,2022-08-03,False
Dee,Echo Park,HipHop,US,209,17,11,2022,2022-11-17,True
Eli,The Larks,Jazz,US,111,21,6,2023,2023-06-21,True
Ben,Nova,Pop,US,129,12,6,2022,2022-06-12,False
Ada,Sol Fina,Pop,US,151,15,2,2022,2022-02-15,False
Ben,Riftwave,Rock,JP,158,16,7,2023,2023-07-16,False
Fay,Blue Ember,Jazz,UK,153,10,11,2023,2023-11-10,True
Gus,The Larks,Jazz,US,188,16,9,2022,2022-09-16,True
Ben,Blue Ember,Jazz,US,236,24,4,2021,2021-04-24,True
Cy,Echo Park,HipHop,US,199,14,11,2021,2021-11-14,True
Cy,Marisol,Classical,EU,33,22,5,2022,2022-05-22,False
Cy,Blue Ember,Jazz,US,115,10,2,2023,2023-02-10,False
Ben,K.Low,HipHop,EU,111,4,1,2023,2023-01-04,False
Ada,Vantablack,Rock,EU,123,17,6,2023,2023-06-17,True
Eli,Echo Park,HipHop,US,127,2,2,2021,2021-02-02,True
Cy,Sol Fina,Pop,UK,173,25,5,2022,2022-05-25,False
Cy,Grův,Pop,JP,102,7,2,2023,2023-02-07,True
Cy,The Larks,Jazz,UK,64,17,12,2023,2023-12-17,False
Hana,Echo Park,HipHop,US,110,5,6,2021,2021-06-05,True
Eli,Sol Fina,Pop,JP,206,21,8,2023,2023-08-21,True
Dee,Blue Ember,Jazz,EU,75,9,1,2021,2021-01-09,False
Ben,Marisol,Classical,UK,5,4,8,2021,2021-08-04,True
Gus,Riftwave,Rock,UK,235,17,7,2023,2023-07-17,False
Hana,K.Low,HipHop,US,47,12,5,2023,2023-05-12,True
Ada,Grův,Pop,EU,145,2,12,2023,2023-12-02,True
Hana,Marisol,Classical,UK,193,21,10,2022,2022-10-21,True
Fay,Riftwave,Rock,US,66,6,11,2022,2022-11-06,True
Ada,Sol Fina,Pop,EU,82,9,8,2022,2022-08-09,False
Gus,Grův,Pop,JP,68,15,7,2022,2022-07-15,True
Ada,The Larks,Jazz,EU,36,17,7,2022,2022-07-17,False
Ada,Blue Ember,Jazz,US,37,17,11,2021,2021-11-17,False
Ada,Marisol,Classical,US,45,24,7,2023,2023-07-24,True
Dee,Vantablack,Rock,JP,110,26,1,2022,2022-01-26,True
Eli,Blue Ember,Jazz,JP,128,31,10,2022,2022-10-31,True
Dee,Blue Ember,Jazz,UK,4,3,1,2023,2023-01-03,False
Ada,Blue Ember,Jazz,UK,204,12,8,2022,2022-08-12,False
Ben,Grův,Pop,UK,163,1,11,2022,2022-11-01,True
Gus,Echo Park,HipHop,UK,17,23,2,2021,2021-02-23,False
Hana,The Larks,Jazz,US,203,12,12,2021,2021-12-12,False
Gus,The Larks,Jazz,US,8,6,5,2022,2022-05-06,True
Ada,Grův,Pop,US,135,8,3,2022,2022-03-08,True
Gus,Riftwave,Rock,EU,112,22,9,2023,2023-09-22,False
Fay,The Larks,Jazz,US,121,10,9,2023,2023-09-10,True
Eli,Nova,Pop,US,230,19,2,2023,2023-02-19,True
Ben,Marisol,Classical,UK,223,21,1,2022,2022-01-21,True
Hana,Vantablack,Rock,US,67,25,2,2021,2021-02-25,False
Dee,K.Low,HipHop,US,140,7,4,2023,2023-04-07,False
Ada,Riftwave,Rock,UK,231,26,8,2023,2023-08-26,True
Ben,Riftwave,Rock,US,175,21,6,2022,2022-06-21,False
Dee,The Larks,Jazz,UK,214,25,6,2023,2023-06-25,False
Ada,K.Low,HipHop,JP,105,17,10,2023,2023-10-17,True
Cy,K.Low,HipHop,US,68,22,8,2022,2022-08-22,False
Dee,Grův,Pop,JP,123,18,8,2021,2021-08-18,True
Hana,Riftwave,Rock,JP,197,25,1,2021,2021-01-25,True
Ada,Grův,Pop,EU,223,9,4,2023,2023-04-09,False
Eli,Grův,Pop,UK,165,8,9,2022,2022-09-08,False
Hana,Vantablack,Rock,UK,170,18,6,2021,2021-06-18,True
Gus,Riftwave,Rock,UK,123,1,3,2021,2021-03-01,False
Hana,Riftwave,Rock,EU,77,28,11,2023,2023-11-28,False
Ben,Blue Ember,Jazz,US,102,17,12,2021,2021-12-17,True
Gus,Vantablack,Rock,JP,120,25,12,2021,2021-12-25,False
Hana,Riftwave,Rock,UK,196,20,11,2022,2022-11-20,False
Cy,Marisol,Classical,EU,134,4,2,2022,2022-02-04,True
Dee,Riftwave,Rock,US,191,27,9,2023,2023-09-27,False
Eli,Vantablack,Rock,US,7,16,1,2023,2023-01-16,True
Dee,Nova,Pop,UK,182,27,1,2022,2022-01-27,True
Cy,Echo Park,HipHop,UK,122,19,10,2021,2021-10-19,False
Hana,Nova,Pop,UK,240,31,7,2023,2023-07-31,False
Hana,Riftwave,Rock,US,114,10,10,2022,2022-10-10,False
Dee,Riftwave,Rock,US,115,3,10,2023,2023-10-03,False
Gus,The Larks,Jazz,UK,31,13,1,2022,2022-01-13,False
Dee,Nova,Pop,US,194,24,1,2021,2021-01-24,True
Gus,Marisol,Classical,JP,169,12,9,2023,2023-09-12,False
Eli,Vantablack,Rock,US,207,20,9,2021,2021-09-20,False
Dee,Vantablack,Rock,US,23,15,7,2023,2023-07-15,False
Ben,Sol Fina,Pop,US,51,17,2,2023,2023-02-17,False
Fay,The Larks,Jazz,UK,211,11,9,2021,2021-09-11,True
Cy,K.Low,HipHop,UK,11,9,4,2023,2023-04-09,True
Ben,The Larks,Jazz,UK,122,31,3,2021,2021-03-31,True
Ben,K.Low,HipHop,JP,98,6,3,2022,2022-03-06,True
Hana,Grův,Pop,US,226,26,1,2022,2022-01-26,False
Ada,Vantablack,Rock,EU,206,21,12,2022,2022-12-21,False
Gus,Echo Park,HipHop,US,216,9,8,2022,2022-08-09,True
Gus,The Larks,Jazz,US,70,2,11,2022,2022-11-02,True
Ada,Echo Park,HipHop,UK,142,6,6,2022,2022-06-06,False
Eli,The Larks,Jazz,US,169,22,3,2023,2023-03-22,True
Eli,Vantablack,Rock,UK,233,25,6,2021,2021-06-25,False
Cy,Nova,Pop,EU,2,26,2,2023,2023-02-26,True
Fay,Marisol,Classical,EU,235,24,2,2021,2021-02-24,True
Dee,Riftwave,Rock,UK,86,5,4,2021,2021-04-05,True
Dee,The Larks,Jazz,UK,31,4,3,2023,2023-03-04,False
Dee,Blue Ember,Jazz,US,148,23,6,2021,2021-06-23,True
Gus,Blue Ember,Jazz,US,188,24,4,2023,2023-04-24,False
Fay,Blue Ember,Jazz,US,32,26,5,2021,2021-05-26,True
Dee,Sol Fina,Pop,EU,10,10,6,2021,2021-06-10,True
Hana,Vantablack,Rock,JP,216,19,10,2023,2023-10-19,False
Gus,Grův,Pop,US,225,14,7,2021,2021-07-14,True
Hana,Marisol,Classical,UK,38,28,9,2023,2023-09-28,True
Fay,Blue Ember,Jazz,EU,217,17,1,2022,2022-01-17,False
Dee,Nova,Pop,EU,219,24,5,2023,2023-05-24,False
Gus,Nova,Pop,UK,240,26,10,2023,2023-10-26,True
Cy,K.Low,HipHop,UK,52,8,5,2021,2021-05-08,True
Cy,Grův,Pop,EU,139,28,12,2021,2021-12-28,False
Dee,Vantablack,Rock,EU,239,21,9,2022,2022-09-21,False
Hana,The Larks,Jazz,US,217,6,8,2023,2023-08-06,False
Eli,Riftwave,Rock,JP,146,25,7,2021,2021-07-25,False
Dee,Nova,Pop,US,48,24,7,2021,2021-07-24,False
Dee,The Larks,Jazz,EU,21,8,2,2022,2022-02-08,True
Cy,Riftwave,Rock,US,63,13,8,2021,2021-08-13,True
Fay,Nova,Pop,US,16,20,10,2021,2021-10-20,False
Cy,Marisol,Classical,US,47,23,5,2021,2021-05-23,False
Eli,Grův,Pop,UK,18,27,6,2023,2023-06-27,False
Cy,Sol Fina,Pop,US,183,23,5,2023,2023-05-23,False
Cy,Nova,Pop,US,142,8,6,2021,2021-06-08,True
Hana,The Larks,Jazz,UK,125,11,8,2022,2022-08-11,False
Cy,The Larks,Jazz,UK,195,9,12,2022,2022-12-09,False
Ada,The Larks,Jazz,EU,99,19,11,2022,2022-11-19,False
Dee,Grův,Pop,EU,97,14,12,2023,2023-12-14,False
Eli,Blue Ember,Jazz,EU,50,4,12,2022,2022-12-04,False
Ada,Grův,Pop,US,107,23,1,2023,2023-01-23,True
Cy,K.Low,HipHop,US,42,5,2,2021,2021-02-05,False
Ben,The Larks,Jazz,JP,142,28,3,2021,2021-03-28,False
Eli,Vantablack,Rock,US,240,9,11,2022,2022-11-09,False
Fay,Echo Park,HipHop,UK,128,22,9,2023,2023-09-22,True
Hana,Sol Fina,Pop,JP,72,13,3,2022,2022-03-13,False
Dee,Sol Fina,Pop,JP,166,6,12,2022,2022-12-06,False
Gus,Sol Fina,Pop,UK,197,19,8,2021,2021-08-19,False
Ben,Echo Park,HipHop,EU,114,15,5,2022,2022-05-15,True
Gus,Echo Park,HipHop,UK,61,3,4,2023,2023-04-03,False
Eli,Riftwave,Rock,EU,172,24,12,2022,2022-12-24,False
Gus,The Larks,Jazz,US,45,6,5,2021,2021-05-06,False
Gus,Vantablack,Rock,US,240,21,8,2023,2023-08-21,False
Eli,K.Low,HipHop,UK,77,13,10,2023,2023-10-13,True
Cy,Vantablack,Rock,US,85,7,6,2022,2022-06-07,False
Eli,Grův,Pop,EU,175,9,1,2022,2022-01-09,False
Gus,The Larks,Jazz,US,3,5,8,2022,2022-08-05,False
Hana,The Larks,Jazz,EU,49,28,5,2023,2023-05-28,True
Hana,Marisol,Classical,EU,31,11,5,2022,2022-05-11,False
Ben,Echo Park,HipHop,UK,94,2,2,2021,2021-02-02,True
Eli,K.Low,HipHop,EU,133,21,3,2021,2021-03-21,False
Ada,Sol Fina,Pop,US,44,8,6,2023,2023-06-08,False
Fay,Sol Fina,Pop,UK,83,12,5,2023,2023-05-12,True
Hana,Blue Ember,Jazz,US,186,26,4,2023,2023-04-26,False
Ada,Blue Ember,Jazz,EU,226,19,5,2021,2021-05-19,False
Fay,Nova,Pop,EU,4,6,7,2021,2021-07-06,False
Hana,Riftwave,Rock,JP,151,9,3,2022,2022-03-09,True
Gus,Marisol,Classical,EU,7,10,9,2021,2021-09-10,False
Dee,Marisol,Classical,JP,125,28,2,2022,2022-02-28,True
Ada,Riftwave,Rock,US,212,4,9,2022,2022-09-04,False
Hana,Marisol,Classical,JP,192,3,11,2021,2021-11-03,False
Hana,Sol Fina,Pop,UK,56,16,5,2021,2021-05-16,True
Eli,Blue Ember,Jazz,UK,63,17,3,2022,2022-03-17,False
Hana,K.Low,HipHop,UK,189,3,3,2023,2023-03-03,False
Ada,K.Low,HipHop,US,197,8,11,2022,2022-11-08,False
Eli,Vantablack,Rock,US,68,19,12,2021,2021-12-19,True
Ada,K.Low,HipHop,US,1,7,12,2021,2021-12-07,True
Hana,Echo Park,HipHop,US,107,2,10,2022,2022-10-02,False
Fay,K.Low,HipHop,UK,149,8,7,2021,2021-07-08,True
Hana,Marisol,Classical,EU,107,2,7,2023,2023-07-02,False
Eli,K.Low,HipHop,UK,225,10,8,2023,2023-08-10,True
Ada,Riftwave,Rock,UK,196,28,1,2021,2021-01-28,True
Ada,Sol Fina,Pop,UK,190,30,11,2023,2023-11-30,False
Cy,Blue Ember,Jazz,UK,5,26,1,2021,2021-01-26,True
Fay,Blue Ember,Jazz,US,205,18,5,2022,2022-05-18,False
Ben,Echo Park,HipHop,EU,182,1,1,2023,2023-01-01,True
Gus,Grův,Pop,US,96,25,12,2021,2021-12-25,False
Ben,Sol Fina,Pop,EU,142,11,8,2021,2021-08-11,True
Dee,Grův,Pop,EU,198,21,2,2021,2021-02-21,False
Ben,The Larks,Jazz,UK,218,8,3,2023,2023-03-08,False
Dee,Marisol,Classical,EU,133,10,2,2021,2021-02-10,True
Dee,Echo Park,HipHop,US,10,15,6,2022,2022-06-15,False
Ada,K.Low,HipHop,EU,149,7,3,2022,2022-03-07,True
Eli,Marisol,Classical,EU,164,26,11,2023,2023-11-26,False
Gus,Vantablack,Rock,EU,15,16,10,2023,2023-10-16,True
Hana,Grův,Pop,EU,197,15,6,2023,2023-06-15,False
Cy,The Larks,Jazz,EU,49,12,3,2023,2023-03-12,True
Hana,Marisol,Classical,JP,214,18,8,2022,2022-08-18,False
Hana,Sol Fina,Pop,UK,133,18,1,2022,2022-01-18,False
Hana,Blue Ember,Jazz,EU,78,2,7,2021,2021-07-02,False
Cy,The Larks,Jazz,EU,15,27,11,2023,2023-11-27,True
Gus,Vantablack,Rock,UK,5,26,2,2022,2022-02-26,True
Eli,Vantablack,Rock,JP,178,15,4,2022,2022-04-15,True
Ada,Echo Park,HipHop,US,91,4,6,2021,2021-06-04,False
Cy,Sol Fina,Pop,UK,202,31,10,2021,2021-10-31,False
Fay,Nova,Pop,US,56,26,11,2022,2022-11-26,True
Ben,Blue Ember,Jazz,US,221,12,4,2022,2022-04-12,False
Dee,Riftwave,Rock,EU,226,4,10,2022,2022-10-04,True
Gus,Echo Park,HipHop,US,25,20,8,2021,2021-08-20,True
Ben,Nova,Pop,US,156,31,3,2021,2021-03-31,False
Dee,Blue Ember,Jazz,US,226,28,8,2023,2023-08-28,True
Ben,Vantablack,Rock,UK,78,19,4,2022,2022-04-19,True
Eli,Sol Fina,Pop,EU,17,31,1,2022,2022-01-31,False
Ben,Vantablack,Rock,EU,211,10,11,2021,2021-11-10,True
Hana,The Larks,Jazz,US,114,22,12,2022,2022-12-22,False
Ada,Grův,Pop,UK,7,9,9,2022,2022-09-09,False
Hana,Riftwave,Rock,UK,202,3,3,2022,2022-03-03,False
Gus,Grův,Pop,UK,163,17,10,2023,2023-10-17,False
Gus,Sol Fina,Pop,UK,17,15,9,2023,2023-09-15,False
Gus,Sol Fina,Pop,US,63,6,8,2021,2021-08-06,True
Ben,Nova,Pop,UK,5,5,12,2022,2022-12-05,False
Hana,Sol Fina,Pop,UK,230,27,11,2023,2023-11-27,False
Eli,Echo Park,HipHop,UK,6,19,6,2022,2022-06-19,False
Hana,Vantablack,Rock,UK,192,3,2,2021,2021-02-03,True
Hana,Nova,Pop,EU,123,25,5,2021,2021-05-25,False
Eli,Vantablack,Rock,EU,140,2,1,2023,2023-01-02,False
Cy,Grův,Pop,US,195,15,9,2023,2023-09-15,True
Ada,Echo Park,HipHop,EU,215,21,5,2021,2021-05-21,False
Ada,Riftwave,Rock,EU,31,22,8,2022,2022-08-22,True
Dee,Grův,Pop,US,5,29,6,2022,2022-06-29,True
Gus,Grův,Pop,UK,30,9,11,2021,2021-11-09,False
Eli,Riftwave,Rock,US,164,23,11,2022,2022-11-23,False
Dee,The Larks,Jazz,EU,137,20,8,2023,2023-08-20,True
Ben,Marisol,Classical,US,21,19,9,2021,2021-09-19,True
Eli,Vantablack,Rock,EU,57,1,3,2021,2021-03-01,True
Fay,Marisol,Classical,US,129,29,1,2022,2022-01-29,False
Hana,Echo Park,HipHop,UK,176,10,12,2021,2021-12-10,False
Fay,Grův,Pop,JP,83,8,3,2023,2023-03-08,False
Eli,Echo Park,HipHop,US,228,11,8,2022,2022-08-11,True
Hana,Grův,Pop,EU,239,20,1,2021,2021-01-20,False
Dee,Grův,Pop,JP,184,8,1,2022,2022-01-08,False
Hana,Nova,Pop,EU,110,16,3,2023,2023-03-16,False
Cy,Blue Ember,Jazz,US,211,7,6,2022,2022-06-07,True
Ben,Echo Park,HipHop,EU,175,9,9,2022,2022-09-09,True
Dee,Vantablack,Rock,US,125,17,10,2021,2021-10-17,False
Ben,Nova,Pop,US,107,16,12,2021,2021-12-16,False
Ada,Nova,Pop,EU,200,23,5,2021,2021-05-23,True
Hana,Vantablack,Rock,EU,134,31,3,2021,2021-03-31,False
Gus,Sol Fina,Pop,UK,44,10,2,2021,2021-02-10,True
Ben,Riftwave,Rock,US,240,15,11,2022,2022-11-15,True
Gus,Riftwave,Rock,EU,17,22,6,2021,2021-06-22,False
Ada,Riftwave,Rock,EU,167,21,9,2022,2022-09-21,False
Cy,Vantablack,Rock,UK,158,10,11,2023,2023-11-10,True
Fay,Nova,Pop,EU,141,3,2,2023,2023-02-03,False
Cy,Vantablack,Rock,US,13,23,9,2022,2022-09-23,False
Fay,Marisol,Classical,US,119,8,5,2021,2021-05-08,True
Gus,Marisol,Classical,UK,215,20,6,2022,2022-06-20,False
Ada,Sol Fina,Pop,JP,58,3,9,2023,2023-09-03,False
Ada,Vantablack,Rock,US,166,25,2,2022,2022-02-25,False
Hana,Echo Park,HipHop,US,207,24,6,2023,2023-06-24,False
Eli,Echo Park,HipHop,US,229,15,2,2023,2023-02-15,False
Eli,Grův,Pop,EU,124,20,10,2021,2021-10-20,True
Dee,Echo Park,HipHop,US,76,4,6,2021,2021-06-04,True
Dee,Vantablack,Rock,UK,168,19,1,2021,2021-01-19,False
Fay,Marisol,Classical,JP,117,30,10,2021,2021-10-30,False
Eli,Blue Ember,Jazz,US,151,31,12,2021,2021-12-31,True
Ben,Vantablack,Rock,UK,179,20,12,2022,2022-12-20,True
Fay,Riftwave,Rock,UK,171,19,9,2022,2022-09-19,False
Fay,Grův,Pop,EU,59,9,6,2022,2022-06-09,True
Ada,The Larks,Jazz,US,182,3,3,2023,2023-03-03,True
Dee,Riftwave,Rock,UK,131,24,4,2023,2023-04-24,False
Gus,Echo Park,HipHop,US,224,21,2,2023,2023-02-21,False
Eli,Riftwave,Rock,EU,159,10,9,2023,2023-09-10,False
Ben,Echo Park,HipHop,EU,215,29,1,2022,2022-01-29,False
Ada,Nova,Pop,US,235,21,6,2023,2023-06-21,True
Eli,Marisol,Classical,US,239,6,4,2022,2022-04-06,False
Dee,Sol Fina,Pop,EU,179,21,7,2021,2021-07-21,True
Hana,Echo Park,HipHop,US,144,9,6,2021,2021-06-09,True
Eli,Marisol,Classical,US,29,11,4,2021,2021-04-11,False
Hana,Grův,Pop,UK,93,13,11,2023,2023-11-13,False
Ben,Echo Park,HipHop,US,115,5,7,2021,2021-07-05,False
Dee,Blue Ember,Jazz,US,188,4,7,2023,2023-07-04,True
Ben,Sol Fina,Pop,UK,142,8,5,2023,2023-05-08,False
Eli,Echo Park,HipHop,US,106,26,4,2022,2022-04-26,False
Ben,K.Low,HipHop,UK,36,28,9,2023,2023-09-28,False
Dee,Echo Park,HipHop,EU,172,22,9,2023,2023-09-22,False
Cy,The Larks,Jazz,UK,104,11,10,2023,2023-10-11,True
Ben,The Larks,Jazz,US,9,29,6,2022,2022-06-29,False
Ada,Echo Park,HipHop,EU,69,23,11,2021,2021-11-23,False
Eli,Sol Fina,Pop,US,212,17,2,2021,2021-02-17,False
Hana,Blue Ember,Jazz,EU,29,10,7,2023,2023-07-10,False
Ben,Echo Park,HipHop,US,98,14,8,2023,2023-08-14,False
Dee,K.Low,HipHop,EU,123,11,8,2022,2022-08-11,True
Ben,Vantablack,Rock,US,21,19,3,2021,2021-03-19,True
Gus,K.Low,HipHop,US,40,20,6,2023,2023-06-20,False
Dee,K.Low,HipHop,UK,226,23,11,2021,2021-11-23,False
Hana,Riftwave,Rock,US,142,24,8,2022,2022-08-24,False
Ben,Grův,Pop,US,51,24,12,2022,2022-12-24,True
Ada,Riftwave,Rock,EU,41,9,6,2021,2021-06-09,True
Eli,Nova,Pop,EU,103,10,3,2021,2021-03-10,False
Fay,Grův,Pop,US,174,28,3,2021,2021-03-28,False
Hana,Vantablack,Rock,EU,176,17,11,2023,2023-11-17,True
Gus,Marisol,Classical,EU,47,15,11,2023,2023-11-15,False
Hana,Echo Park,HipHop,EU,175,13,4,2022,2022-04-13,True
Fay,K.Low,HipHop,EU,216,12,4,2022,2022-04-12,False
Cy,Riftwave,Rock,EU,55,22,3,2022,2022-03-22,True
Dee,Echo Park,HipHop,UK,7,19,1,2022,2022-01-19,True
Ben,Riftwave,Rock,EU,231,19,8,2022,2022-08-19,True
Dee,Vantablack,Rock,JP,126,26,1,2022,2022-01-26,False
Cy,Grův,Pop,US,187,6,11,2022,2022-11-06,False
Ada,Grův,Pop,US,77,19,2,2022,2022-02-19,False
Ben,K.Low,HipHop,US,72,21,11,2022,2022-11-21,False
Eli,Echo Park,HipHop,JP,55,1,11,2023,2023-11-01,True
Cy,Sol Fina,Pop,UK,53,14,8,2021,2021-08-14,True
Hana,Marisol,Classical,EU,114,10,3,2021,2021-03-10,False
Dee,Riftwave,Rock,EU,26,31,7,2022,2022-07-31,True
Hana,K.Low,HipHop,JP,203,11,5,2021,2021-05-11,False
Fay,Sol Fina,Pop,US,123,11,9,2021,2021-09-11,False
Ada,Grův,Pop,EU,220,15,5,2023,2023-05-15,False
Ben,Nova,Pop,EU,121,3,4,2022,2022-04-03,True
Fay,Echo Park,HipHop,US,73,25,8,2022,2022-08-25,False
Eli,The Larks,Jazz,EU,124,30,4,2023,2023-04-30,True
Cy,Grův,Pop,US,38,21,5,2021,2021-05-21,True
Eli,Marisol,Classical,UK,198,9,6,2022,2022-06-09,False
Hana,Riftwave,Rock,UK,173,7,2,2021,2021-02-07,False
Dee,Blue Ember,Jazz,US,36,1,7,2022,2022-07-01,False
Ada,The Larks,Jazz,US,140,3,9,2021,2021-09-03,True
Cy,The Larks,Jazz,US,130,25,9,2023,2023-09-25,False
Hana,Sol Fina,Pop,US,49,13,10,2021,2021-10-13,False
Gus,Riftwave,Rock,UK,30,8,8,2021,2021-08-08,False
Gus,Riftwave,Rock,US,183,16,1,2021,2021-01-16,False
Hana,Marisol,Classical,US,64,26,5,2021,2021-05-26,True
Ada,Vantablack,Rock,EU,125,25,8,2021,2021-08-25,False
Cy,Nova,Pop,EU,60,7,9,2021,2021-09-07,False
Ada,Sol Fina,Pop,UK,157,20,3,2023,2023-03-20,False
Ada,Vantablack,Rock,JP,12,30,8,2023,2023-08-30,False
Gus,Nova,Pop,US,87,26,7,2023,2023-07-26,False
Hana,Nova,Pop,EU,132,14,11,2023,2023-11-14,False
Ben,Marisol,Classical,US,106,11,9,2023,2023-09-11,False
Fay,Echo Park,HipHop,EU,147,14,5,2022,2022-05-14,True
Eli,The Larks,Jazz,JP,44,3,3,2022,2022-03-03,True
Ada,Marisol,Classical,EU,107,12,12,2022,2022-12-12,False
Hana,Blue Ember,Jazz,UK,182,16,12,2021,2021-12-16,False
Gus,Grův,Pop,UK,81,24,10,2022,2022-10-24,False
Eli,Marisol,Classical,US,38,31,12,2023,2023-12-31,False
Fay,K.Low,HipHop,EU,204,5,8,2021,2021-08-05,False
Dee,Marisol,Classical,EU,187,23,4,2023,2023-04-23,True
Gus,Nova,Pop,JP,164,22,10,2023,2023-10-22,True
Dee,K.Low,HipHop,UK,192,12,8,2022,2022-08-12,False
Hana,Vantablack,Rock,US,187,25,1,2022,2022-01-25,False
Ada,Grův,Pop,UK,180,6,10,2021,2021-10-06,False
Ben,Echo Park,HipHop,US,123,3,7,2021,2021-07-03,False
Hana,Echo Park,HipHop,US,5,18,12,2021,2021-12-18,False
Cy,Vantablack,Rock,US,144,29,3,2023,2023-03-29,False
Cy,Riftwave,Rock,EU,66,19,7,2022,2022-07-19,False
Gus,K.Low,HipHop,US,186,31,8,2021,2021-08-31,True
