station,city,region,temp,humidity,day,month,year,date,rained
WX04,Miami,South,80,90,13,7,2022,2022-07-13,True
WX06,Newark,East,42,69,12,10,2022,2022-10-12,False
WX02,Seattle,West,40,84,10,11,2023,2023-11-10,False
WX02,Seattle,West,36,13,18,2,2022,2022-02-18,False
WX05,Boston,East,56,88,13,4,2023,2023-04-13,False
WX02,Seattle,West,92,96,2,8,2023,2023-08-02,False
WX05,Boston,East,93,70,6,8,2023,2023-08-06,True
WX08,Fargo,North,40,97,12,3,2023,2023-03-12,False
WX03,Austin,South,83,61,14,7,2023,2023-07-14,False
WX05,Boston,East,57,35,26,10,2023,2023-10-26,True
WX08,Fargo,North,100,65,14,7,2023,2023-07-14,False
WX08,Fargo,North,42,67,26,3,2022,2022-03-26,False
WX01,Denver,West,91,23,28,6,2022,2022-06-28,False
WX01,Denver,West,82,28,11,8,2022,2022-08-11,False
WX08,Fargo,North,71,36,8,9,2022,2022-09-08,False
WX08,Fargo,North,72,59,21,9,2022,2022-09-21,True
WX03,Austin,South,85,23,10,6,2022,2022-06-10,True
WX05,Boston,East,82,80,14,5,2023,2023-05-14,True
WX05,Boston,East,19,19,22,3,2022,2022-03-22,False
WX06,Newark,East,90,95,30,7,2023,2023-07-30,True
WX07,Chicago,North,54,71,26,4,2023,2023-04-26,False
WX03,Austin,South,14,40,3,12,2023,2023-12-03,False
WX08,Fargo,North,25,43,5,1,2022,2022-01-05,False
WX01,Denver,West,80,73,4,8,2022,2022-08-04,True
WX01,Denver,West,52,18,18,10,2023,2023-10-18,True
WX08,Fargo,North,39,75,27,12,2022,2022-12-27,False
WX02,Seattle,West,33,60,14,2,2023,2023-02-14,False
WX08,Fargo,North,25,30,22,1,2022,2022-01-22,False
WX03,Austin,South,93,91,11,7,2023,2023-07-11,False
WX03,Austin,South,89,67,4,7,2022,2022-07-04,False
WX01,Denver,West,41,24,5,12,2023,2023-12-05,True
WX08,Fargo,North,61,69,1,10,2022,2022-10-01,False
WX03,Austin,South,67,47,18,5,2022,2022-05-18,True
WX02,Seattle,West,26,79,10,3,2023,2023-03-10,False
WX04,Miami,South,29,54,15,12,2022,2022-12-15,True
WX02,Seattle,West,24,100,10,12,2022,2022-12-10,True
WX07,Chicago,North,26,94,25,11,2023,2023-11-25,True
WX01,Denver,West,76,13,24,9,2022,2022-09-24,False
WX04,Miami,South,53,47,18,10,2022,2022-10-18,False
WX04,Miami,South,59,28,1,4,2023,2023-04-01,True
WX01,Denver,West,76,50,5,5,2022,2022-05-05,False
WX01,Denver,West,80,23,28,8,2023,2023-08-28,True
WX05,Boston,East,90,58,17,6,2022,2022-06-17,True
WX04,Miami,South,81,24,26,6,2022,2022-06-26,False
WX02,Seattle,West,17,66,8,1,2022,2022-01-08,True
WX02,Seattle,West,68,51,8,9,2022,2022-09-08,False
WX07,Chicago,North,47,100,2,3,2023,2023-03-02,False
WX06,Newark,East,70,89,30,5,2023,2023-05-30,True
WX05,Boston,East,66,64,18,10,2023,2023-10-18,False
WX07,Chicago,North,104,50,22,7,2023,2023-07-22,False
WX01,Denver,West,79,75,23,8,2022,2022-08-23,False
WX06,Newark,East,62,70,26,8,2023,2023-08-26,False
WX07,Chicago,North,81,22,23,5,2022,2022-05-23,True
WX02,Seattle,West,83,44,2,6,2022,2022-06-02,True
WX05,Boston,East,66,100,19,9,2022,2022-09-19,False
WX07,Chicago,North,15,39,29,1,2023,2023-01-29,False
WX05,Boston,East,69,11,29,5,2022,2022-05-29,False
WX02,Seattle,West,65,85,20,10,2023,2023-10-20,False
WX06,Newark,East,91,94,17,7,2022,2022-07-17,False
WX07,Chicago,North,65,69,14,10,2022,2022-10-14,True
WX01,Denver,West,41,67,18,3,2023,2023-03-18,False
WX05,Boston,East,35,41,10,11,2022,2022-11-10,False
WX05,Boston,East,52,42,22,10,2022,2022-10-22,False
WX03,Austin,South,29,93,20,12,2023,2023-12-20,True
WX01,Denver,West,44,88,15,11,2022,2022-11-15,False
WX01,Denver,West,45,55,24,3,2022,2022-03-24,False
WX07,Chicago,North,83,38,18,6,2023,2023-06-18,False
WX07,Chicago,North,74,27,31,5,2023,2023-05-31,False
WX04,Miami,South,90,10,9,6,2022,2022-06-09,False
WX08,Fargo,North,69,53,13,9,2023,2023-09-13,False
WX08,Fargo,North,46,60,14,10,2022,2022-10-14,False
WX06,Newark,East,49,71,21,4,2022,2022-04-21,True
WX05,Boston,East,71,83,6,5,2022,2022-05-06,False
WX08,Fargo,North,91,43,6,6,2023,2023-06-06,True
WX05,Boston,East,95,25,7,6,2022,2022-06-07,False
WX08,Fargo,North,14,86,9,12,2022,2022-12-09,False
WX08,Fargo,North,81,79,20,6,2023,2023-06-20,False
WX02,Seattle,West,70,58,15,9,2023,2023-09-15,False
WX06,Newark,East,31,13,24,12,2022,2022-12-24,False
WX06,Newark,East,51,52,25,10,2023,2023-10-25,False
WX07,Chicago,North,82,66,9,8,2022,2022-08-09,False
WX03,Austin,South,61,88,29,9,2023,2023-09-29,False
WX07,Chicago,North,94,56,2,7,2022,2022-07-02,True
WX04,Miami,South,23,52,17,2,2022,2022-02-17,False
WX04,Miami,South,80,44,14,6,2023,2023-06-14,False
WX02,Seattle,West,88,47,7,7,2023,2023-07-07,True
WX03,Austin,South,47,11,8,11,2023,2023-11-08,False
WX08,Fargo,North,29,19,4,11,2023,2023-11-04,False
WX06,Newark,East,31,78,16,3,2022,2022-03-16,False
WX06,Newark,East,48,42,30,3,2023,2023-03-30,False
WX08,Fargo,North,73,87,30,5,2023,2023-05-30,False
WX03,Austin,South,43,46,15,3,2023,2023-03-15,False
WX06,Newark,East,23,100,14,1,2022,2022-01-14,False
WX03,Austin,South,24,26,2,2,2022,2022-02-02,True
WX07,Chicago,North,70,27,5,5,2023,2023-05-05,False
WX04,Miami,South,79,63,17,9,2023,2023-09-17,True
WX07,Chicago,North,82,83,11,5,2022,2022-05-11,True
WX06,Newark,East,33,23,3,2,2022,2022-02-03,False
WX07,Chicago,North,46,55,22,10,2022,2022-10-22,True
WX08,Fargo,North,96,30,17,8,2022,2022-08-17,False
WX07,Chicago,North,22,77,19,12,2023,2023-12-19,False
WX03,Austin,South,31,61,7,11,2023,2023-11-07,True
WX05,Boston,East,23,69,12,2,2023,2023-02-12,False
WX04,Miami,South,44,34,25,11,2023,2023-11-25,False
WX01,Denver,West,90,36,17,6,2022,2022-06-17,False
WX05,Boston,East,23,68,26,12,2023,2023-12-26,False
WX04,Miami,South,44,42,23,11,2022,2022-11-23,False
WX04,Miami,South,26,72,14,12,2022,2022-12-14,True
WX01,Denver,West,20,24,6,2,2022,2022-02-06,True
WX05,Boston,East,67,37,10,5,2022,2022-05-10,False
WX05,Boston,East,76,19,22,5,2022,2022-05-22,True
WX01,Denver,West,24,17,23,12,2022,2022-12-23,False
WX06,Newark,East,61,33,19,5,2022,2022-05-19,False
WX02,Seattle,West,44,54,16,3,2022,2022-03-16,False
WX02,Seattle,West,34,23,18,3,2023,2023-03-18,False
WX04,Miami,South,85,18,29,9,2023,2023-09-29,False
WX04,Miami,South,13,89,21,2,2022,2022-02-21,True
WX08,Fargo,North,23,56,14,2,2023,2023-02-14,False
WX01,Denver,West,19,75,3,12,2023,2023-12-03,False
WX03,Austin,South,47,76,23,10,2022,2022-10-23,False
WX06,Newark,East,69,19,14,5,2022,2022-05-14,False
WX02,Seattle,West,39,66,28,2,2022,2022-02-28,False
WX08,Fargo,North,39,88,15,11,2023,2023-11-15,True
WX06,Newark,East,49,50,23,10,2022,2022-10-23,False
WX08,Fargo,North,23,88,18,3,2022,2022-03-18,False
WX08,Fargo,North,59,96,25,9,2023,2023-09-25,True
WX01,Denver,West,81,59,9,8,2023,2023-08-09,False
WX04,Miami,South,67,19,29,5,2023,2023-05-29,True
WX06,Newark,East,36,66,3,3,2022,2022-03-03,True
WX01,Denver,West,19,90,2,3,2022,2022-03-02,True
WX04,Miami,South,85,62,9,6,2022,2022-06-09,False
WX06,Newark,East,63,82,27,4,2022,2022-04-27,True
WX07,Chicago,North,33,58,24,1,2023,2023-01-24,True
WX04,Miami,South,40,48,14,10,2022,2022-10-14,False
WX07,Chicago,North,84,96,13,7,2023,2023-07-13,False
WX06,Newark,East,31,23,16,3,2022,2022-03-16,True
WX01,Denver,West,86,50,16,6,2023,2023-06-16,True
WX03,Austin,South,28,24,13,11,2023,2023-11-13,False
WX08,Fargo,North,68,69,6,4,2022,2022-04-06,False
WX01,Denver,West,55,93,22,4,2023,2023-04-22,False
WX01,Denver,West,19,100,7,1,2023,2023-01-07,True
WX03,Austin,South,50,31,11,3,2022,2022-03-11,False
WX08,Fargo,North,85,76,2,8,2022,2022-08-02,False
WX06,Newark,East,93,89,30,7,2023,2023-07-30,True
WX02,Seattle,West,66,85,27,9,2023,2023-09-27,True
WX04,Miami,South,62,55,26,9,2022,2022-09-26,False
WX08,Fargo,North,33,25,19,3,2022,2022-03-19,False
WX02,Seattle,West,103,52,28,6,2022,2022-06-28,True
WX05,Boston,East,78,80,8,9,2023,2023-09-08,False
WX04,Miami,South,27,66,21,2,2023,2023-02-21,False
WX07,Chicago,North,30,45,11,11,2022,2022-11-11,False
WX07,Chicago,North,27,29,10,1,2022,2022-01-10,True
WX07,Chicago,North,79,69,26,7,2023,2023-07-26,False
WX01,Denver,West,12,48,6,12,2022,2022-12-06,False
WX04,Miami,South,20,52,3,2,2023,2023-02-03,False
WX06,Newark,East,88,95,8,9,2023,2023-09-08,False
WX04,Miami,South,40,10,15,2,2023,2023-02-15,False
WX06,Newark,East,34,31,9,11,2023,2023-11-09,False
WX06,Newark,East,19,93,13,2,2023,2023-02-13,False
WX03,Austin,South,59,93,8,9,2022,2022-09-08,False
WX01,Denver,West,38,37,5,11,2023,2023-11-05,False
WX08,Fargo,North,56,100,14,4,2023,2023-04-14,False
WX07,Chicago,North,96,29,10,7,2023,2023-07-10,False
WX08,Fargo,North,93,14,15,6,2022,2022-06-15,False
WX03,Austin,South,71,37,5,5,2023,2023-05-05,True
WX03,Austin,South,29,58,13,2,2023,2023-02-13,True
WX03,Austin,South,32,10,18,3,2022,2022-03-18,False
WX01,Denver,West,94,25,5,7,2022,2022-07-05,False
WX02,Seattle,West,51,81,28,10,2023,2023-10-28,False
WX03,Austin,South,28,66,22,2,2023,2023-02-22,False
WX08,Fargo,North,93,65,20,7,2023,2023-07-20,False
WX02,Seattle,West,73,100,6,5,2022,2022-05-06,True
WX05,Boston,East,92,30,9,6,2022,2022-06-09,True
WX05,Boston,East,25,91,19,11,2023,2023-11-19,True
WX03,Austin,South,29,42,3,11,2022,2022-11-03,True
WX08,Fargo,North,53,94,10,10,2023,2023-10-10,False
WX01,Denver,West,74,81,14,8,2023,2023-08-14,False
WX07,Chicago,North,69,29,3,9,2022,2022-09-03,True
WX06,Newark,East,35,29,25,11,2023,2023-11-25,False
WX03,Austin,South,100,59,21,7,2023,2023-07-21,False
WX07,Chicago,North,56,55,4,4,2022,2022-04-04,False
WX04,Miami,South,46,31,11,3,2022,2022-03-11,False
WX08,Fargo,North,57,33,3,4,2022,2022-04-03,True
WX01,Denver,West,81,91,25,6,2023,2023-06-25,False
WX01,Denver,West,56,78,15,4,2022,2022-04-15,True
WX05,Boston,East,96,27,26,7,2022,2022-07-26,True
WX08,Fargo,North,47,75,14,11,2022,2022-11-14,True
WX01,Denver,West,54,24,10,4,2022,2022-04-10,False
WX07,Chicago,North,72,50,30,8,2022,2022-08-30,True
WX08,Fargo,North,59,11,11,5,2023,2023-05-11,False
WX04,Miami,South,22,69,11,12,2023,2023-12-11,True
WX07,Chicago,North,6,26,9,12,2022,2022-12-09,True
WX07,Chicago,North,100,31,30,6,2023,2023-06-30,False
WX02,Seattle,West,25,27,23,1,2023,2023-01-23,False
WX07,Chicago,North,20,26,7,12,2022,2022-12-07,True
WX06,Newark,East,11,17,15,1,2023,2023-01-15,False
WX01,Denver,West,33,60,1,12,2023,2023-12-01,True
WX05,Boston,East,16,88,13,2,2022,2022-02-13,False
WX06,Newark,East,12,37,10,1,2023,2023-01-10,True
WX07,Chicago,North,19,80,7,2,2022,2022-02-07,False
WX07,Chicago,North,56,59,1,10,2023,2023-10-01,False
WX04,Miami,South,42,33,15,3,2023,2023-03-15,True
WX03,Austin,South,34,15,4,2,2022,2022-02-04,True
WX02,Seattle,West,63,81,1,4,2023,2023-04-01,False
WX01,Denver,West,38,12,15,11,2022,2022-11-15,False
WX06,Newark,East,33,48,4,2,2022,2022-02-04,False
WX08,Fargo,North,19,13,16,12,2023,2023-12-16,False
WX01,Denver,West,40,80,4,10,2022,2022-10-04,True
WX06,Newark,East,15,100,18,1,2022,2022-01-18,False
WX05,Boston,East,31,39,24,3,2023,2023-03-24,True
WX02,Seattle,West,50,38,1,10,2022,2022-10-01,False
WX02,Seattle,West,47,61,25,4,2023,2023-04-25,True
WX03,Austin,South,51,55,29,4,2022,2022-04-29,False
WX06,Newark,East,90,44,28,8,2023,2023-08-28,True
WX03,Austin,South,51,43,3,11,2022,2022-11-03,False
WX07,Chicago,North,24,27,4,11,2022,2022-11-04,False
WX03,Austin,South,75,32,10,8,2023,2023-08-10,False
WX01,Denver,West,18,63,5,2,2023,2023-02-05,False
WX01,Denver,West,26,76,1,1,2022,2022-01-01,False
WX04,Miami,South,23,78,27,2,2023,2023-02-27,False
WX04,Miami,South,49,56,17,4,2023,2023-04-17,True
WX06,Newark,East,91,78,16,8,2022,2022-08-16,False
WX04,Miami,South,80,63,12,5,2022,2022-05-12,False
WX02,Seattle,West,25,42,9,2,2022,2022-02-09,False
WX02,Seattle,West,66,42,10,9,2023,2023-09-10,False
WX05,Boston,East,22,57,4,1,2022,2022-01-04,False
WX03,Austin,South,36,37,2,3,2023,2023-03-02,False
WX06,Newark,East,71,79,3,9,2023,2023-09-03,False
WX08,Fargo,North,68,26,15,9,2022,2022-09-15,False
WX03,Austin,South,80,14,27,5,2022,2022-05-27,False
WX05,Boston,East,87,54,6,6,2023,2023-06-06,False
WX07,Chicago,North,63,16,6,4,2023,2023-04-06,False
WX02,Seattle,West,31,27,11,1,2022,2022-01-11,False
WX05,Boston,East,28,44,26,2,2023,2023-02-26,False
WX03,Austin,South,16,10,1,1,2022,2022-01-01,False
WX06,Newark,East,63,30,19,10,2022,2022-10-19,False
WX06,Newark,East,89,59,10,8,2022,2022-08-10,False
WX02,Seattle,West,93,44,1,9,2023,2023-09-01,False
WX02,Seattle,West,27,91,15,12,2023,2023-12-15,False
WX01,Denver,West,78,18,25,5,2023,2023-05-25,False
WX01,Denver,West,88,75,21,6,2023,2023-06-21,True
WX01,Denver,West,19,63,17,1,2022,2022-01-17,False
WX06,Newark,East,23,68,16,2,2022,2022-02-16,False
WX08,Fargo,North,92,71,21,7,2023,2023-07-21,False
WX04,Miami,South,42,14,9,11,2022,2022-11-09,False
WX08,Fargo,North,29,82,6,1,2023,2023-01-06,True
WX06,Newark,East,75,40,21,5,2023,2023-05-21,True
WX07,Chicago,North,69,69,11,9,2022,2022-09-11,False
WX06,Newark,East,70,36,13,5,2023,2023-05-13,False
WX02,Seattle,West,75,46,15,6,2023,2023-06-15,False
WX05,Boston,East,99,73,25,6,2022,2022-06-25,True
WX05,Boston,East,68,95,16,5,2023,2023-05-16,False
WX06,Newark,East,80,89,4,5,2022,2022-05-04,False
WX07,Chicago,North,88,76,15,8,2022,2022-08-15,False
WX01,Denver,West,92,59,24,7,2023,2023-07-24,True
WX06,Newark,East,24,58,19,12,2023,2023-12-19,False
WX07,Chicago,North,18,97,17,2,2022,2022-02-17,False
WX01,Denver,West,47,28,19,4,2023,2023-04-19,False
WX04,Miami,South,39,96,20,2,2023,2023-02-20,False
WX08,Fargo,North,38,69,19,3,2023,2023-03-19,False
WX01,Denver,West,99,66,29,7,2023,2023-07-29,False
WX02,Seattle,West,36,63,21,2,2022,2022-02-21,False
WX07,Chicago,North,82,83,24,6,2023,2023-06-24,False
WX02,Seattle,West,93,72,23,7,2022,2022-07-23,False
WX06,Newark,East,55,18,23,4,2022,2022-04-23,False
WX08,Fargo,North,28,81,23,11,2022,2022-11-23,False
WX04,Miami,South,19,76,20,1,2022,2022-01-20,False
WX04,Miami,South,60,93,6,4,2023,2023-04-06,False
WX04,Miami,South,21,95,17,2,2023,2023-02-17,False
WX03,Austin,South,17,96,10,1,2023,2023-01-10,False
WX04,Miami,South,19,13,23,1,2022,2022-01-23,True
WX05,Boston,East,107,67,12,7,2023,2023-07-12,False
WX08,Fargo,North,5,95,26,1,2022,2022-01-26,False
WX08,Fargo,North,94,97,11,7,2022,2022-07-11,False
WX07,Chicago,North,53,59,17,10,2022,2022-10-17,False
WX01,Denver,West,67,92,28,5,2023,2023-05-28,True
WX03,Austin,South,53,90,25,10,2022,2022-10-25,False
WX07,Chicago,North,91,10,20,8,2023,2023-08-20,False
WX05,Boston,East,43,90,14,11,2023,2023-11-14,False
WX03,Austin,South,91,68,13,7,2023,2023-07-13,True
WX03,Austin,South,29,62,29,1,2022,2022-01-29,True
WX01,Denver,West,100,26,17,7,2023,2023-07-17,False
WX03,Austin,South,79,93,31,5,2022,2022-05-31,False
WX04,Miami,South,51,36,11,10,2023,2023-10-11,False
WX04,Miami,South,29,48,16,12,2023,2023-12-16,True
WX05,Boston,East,41,37,3,3,2022,2022-03-03,False
WX03,Austin,South,31,98,13,3,2022,2022-03-13,True
WX02,Seattle,West,60,53,24,5,2023,2023-05-24,False
WX08,Fargo,North,39,20,15,4,2022,2022-04-15,True
WX04,Miami,South,25,10,9,12,2023,2023-12-09,False
WX03,Austin,South,22,99,30,1,2023,2023-01-30,True
WX06,Newark,East,15,31,23,2,2023,2023-02-23,False
WX05,Boston,East,81,80,21,9,2023,2023-09-21,False
WX05,Boston,East,87,12,8,6,2022,2022-06-08,False
WX02,Seattle,West,35,91,10,2,2023,2023-02-10,True
WX06,Newark,East,28,69,31,12,2023,2023-12-31,False
WX02,Seattle,West,11,30,17,1,2022,2022-01-17,False
WX07,Chicago,North,76,90,8,5,2022,2022-05-08,True
WX04,Miami,South,60,37,17,4,2022,2022-04-17,True
WX04,Miami,South,68,100,2,9,2022,2022-09-02,False
WX04,Miami,South,43,64,5,4,2022,2022-04-05,False
WX04,Miami,South,73,50,6,5,2022,2022-05-06,False
WX06,Newark,East,64,15,15,9,2023,2023-09-15,True
WX04,Miami,South,34,33,6,12,2022,2022-12-06,False
WX02,Seattle,West,69,15,19,9,2022,2022-09-19,False
WX05,Boston,East,51,87,2,11,2022,2022-11-02,False
WX03,Austin,South,8,19,10,12,2023,2023-12-10,False
WX01,Denver,West,26,20,25,12,2022,2022-12-25,False
WX07,Chicago,North,36,21,9,12,2022,2022-12-09,False
WX03,Austin,South,30,98,9,11,2023,2023-11-09,False
WX05,Boston,East,19,98,28,1,2022,2022-01-28,True
WX02,Seattle,West,21,75,16,12,2022,2022-12-16,False
WX03,Austin,South,85,16,1,7,2023,2023-07-01,False
WX04,Miami,South,22,55,11,1,2023,2023-01-11,False
WX02,Seattle,West,62,96,26,9,2023,2023-09-26,False
WX08,Fargo,North,54,18,10,10,2023,2023-10-10,False
WX03,Austin,South,77,82,3,9,2022,2022-09-03,True
WX05,Boston,East,84,11,20,8,2023,2023-08-20,False
WX05,Boston,East,77,83,28,6,2022,2022-06-28,False
WX04,Miami,South,94,59,24,6,2022,2022-06-24,False
WX05,Boston,East,31,90,15,12,2023,2023-12-15,False
WX05,Boston,East,12,47,10,1,2022,2022-01-10,True
WX01,Denver,West,62,81,15,9,2022,2022-09-15,True
WX06,Newark,East,47,86,5,4,2023,2023-04-05,True
WX01,Denver,West,59,39,29,10,2022,2022-10-29,False
WX04,Miami,South,75,68,9,9,2023,2023-09-09,False
WX03,Austin,South,96,51,3,7,2022,2022-07-03,False
WX04,Miami,South,22,49,8,2,2023,2023-02-08,False
WX01,Denver,West,48,82,2,4,2022,2022-04-02,False
WX06,Newark,East,93,30,4,6,2022,2022-06-04,False
WX04,Miami,South,68,20,7,5,2022,2022-05-07,False
WX01,Denver,West,87,53,26,6,2023,2023-06-26,False
WX01,Denver,West,60,84,28,5,2022,2022-05-28,True
WX05,Boston,East,68,24,4,5,2023,2023-05-04,False
WX06,Newark,East,81,40,10,9,2022,2022-09-10,False
WX05,Boston,East,19,70,17,2,2023,2023-02-17,False
WX06,Newark,East,79,53,30,9,2023,2023-09-30,False
WX07,Chicago,North,54,65,23,9,2023,2023-09-23,True
WX07,Chicago,North,16,58,9,1,2022,2022-01-09,False
WX08,Fargo,North,89,83,27,7,2023,2023-07-27,True
WX08,Fargo,North,51,89,29,11,2023,2023-11-29,False
WX07,Chicago,North,63,50,3,5,2023,2023-05-03,True
WX04,Miami,South,78,49,17,5,2022,2022-05-17,False
WX05,Boston,East,81,35,1,5,2023,2023-05-01,False
WX05,Boston,East,49,50,10,4,2023,2023-04-10,True
WX02,Seattle,West,52,86,29,4,2023,2023-04-29,False
WX06,Newark,East,39,55,10,11,2022,2022-11-10,True
WX05,Boston,East,8,72,19,1,2023,2023-01-19,False
WX05,Boston,East,51,48,21,4,2023,2023-04-21,False
WX07,Chicago,North,35,74,5,12,2022,2022-12-05,False
WX06,Newark,East,94,74,19,7,2023,2023-07-19,False
WX08,Fargo,North,84,58,3,6,2023,2023-06-03,False
WX08,Fargo,North,86,95,10,8,2022,2022-08-10,False
WX07,Chicago,North,42,89,22,3,2023,2023-03-22,False
WX03,Austin,South,96,24,7,7,2023,2023-07-07,False
WX02,Seattle,West,20,30,24,12,2022,2022-12-24,False
WX03,Austin,South,98,96,6,6,2023,2023-06-06,True
WX06,Newark,East,66,46,3,4,2022,2022-04-03,True
WX07,Chicago,North,60,38,9,10,2022,2022-10-09,False
WX08,Fargo,North,66,82,28,5,2023,2023-05-28,False
WX06,Newark,East,47,64,16,10,2023,2023-10-16,True
WX06,Newark,East,52,22,17,4,2023,2023-04-17,False
WX08,Fargo,North,55,18,30,4,2023,2023-04-30,False
WX06,Newark,East,58,83,7,9,2022,2022-09-07,False
WX02,Seattle,West,76,79,27,5,2023,2023-05-27,False
WX05,Boston,East,83,42,18,9,2022,2022-09-18,False
WX03,Austin,South,29,88,8,2,2022,2022-02-08,False
WX06,Newark,East,80,21,30,6,2022,2022-06-30,True
WX06,Newark,East,31,89,23,3,2023,2023-03-23,True
WX03,Austin,South,27,17,4,12,2023,2023-12-04,True
WX03,Austin,South,23,67,28,12,2022,2022-12-28,False
WX01,Denver,West,76,86,20,9,2023,2023-09-20,False
WX03,Austin,South,95,66,22,7,2023,2023-07-22,False
WX07,Chicago,North,33,80,14,2,2023,2023-02-14,True
WX06,Newark,East,76,41,11,8,2023,2023-08-11,False
WX08,Fargo,North,57,36,21,10,2022,2022-10-21,False
WX08,Fargo,North,35,34,20,11,2022,2022-11-20,False
WX07,Chicago,North,85,20,22,6,2023,2023-06-22,False
WX02,Seattle,West,62,35,12,4,2023,2023-04-12,False
WX03,Austin,South,28,32,21,1,2023,2023-01-21,False
WX01,Denver,West,49,78,13,11,2022,2022-11-13,False
WX01,Denver,West,28,29,14,12,2023,2023-12-14,True
WX02,Seattle,West,24,25,17,2,2022,2022-02-17,False
WX03,Austin,South,23,76,10,2,2022,2022-02-10,False
WX01,Denver,West,11,58,16,12,2022,2022-12-16,False
WX07,Chicago,North,31,29,26,1,2022,2022-01-26,False
WX05,Boston,East,70,74,6,9,2022,2022-09-06,True
WX06,Newark,East,29,29,20,2,2023,2023-02-20,False
WX06,Newark,East,60,81,23,10,2022,2022-10-23,False
WX08,Fargo,North,63,12,29,5,2022,2022-05-29,False
WX02,Seattle,West,83,63,27,7,2022,2022-07-27,False
WX03,Austin,South,50,64,18,3,2023,2023-03-18,False
WX03,Austin,South,40,43,26,11,2023,2023-11-26,False
WX05,Boston,East,85,72,25,7,2023,2023-07-25,False
WX05,Boston,East,24,44,4,2,2023,2023-02-04,False
WX07,Chicago,North,64,69,11,4,2022,2022-04-11,False
WX05,Boston,East,93,30,27,6,2022,2022-06-27,True
WX02,Seattle,West,26,61,18,11,2022,2022-11-18,False
WX05,Boston,East,98,78,30,6,2022,2022-06-30,False
WX08,Fargo,North,80,97,18,5,2023,2023-05-18,False
WX05,Boston,East,71,42,25,9,2022,2022-09-25,False
WX05,Boston,East,63,53,1,9,2023,2023-09-01,False
WX02,Seattle,West,98,53,16,7,2022,2022-07-16,False
WX01,Denver,West,29,88,29,12,2022,2022-12-29,True
WX02,Seattle,West,74,97,6,6,2023,2023-06-06,False
WX01,Denver,West,71,68,31,5,2022,2022-05-31,True
WX04,Miami,South,110,84,10,7,2023,2023-07-10,False
WX08,Fargo,North,38,17,4,3,2023,2023-03-04,False
WX04,Miami,South,49,79,18,4,2023,2023-04-18,True
WX06,Newark,East,29,83,28,11,2022,2022-11-28,False
WX07,Chicago,North,52,75,14,11,2023,2023-11-14,False
WX07,Chicago,North,97,63,18,7,2023,2023-07-18,False
WX06,Newark,East,84,91,21,5,2022,2022-05-21,False
WX07,Chicago,North,27,69,10,2,2023,2023-02-10,False
WX03,Austin,South,65,87,22,10,2023,2023-10-22,False
WX04,Miami,South,83,26,23,7,2022,2022-07-23,False
WX04,Miami,South,21,70,27,1,2023,2023-01-27,False
WX07,Chicago,North,92,49,5,7,2023,2023-07-05,False
WX04,Miami,South,101,89,19,7,2022,2022-07-19,False
WX08,Fargo,North,23,90,13,1,2023,2023-01-13,False
WX02,Seattle,West,20,86,8,2,2023,2023-02-08,False
WX02,Seattle,West,73,29,10,5,2022,2022-05-10,False
WX06,Newark,East,59,54,10,5,2022,2022-05-10,False
WX07,Chicago,North,6,10,16,2,2023,2023-02-16,False
WX06,Newark,East,79,99,11,5,2022,2022-05-11,False
WX03,Austin,South,35,33,24,11,2023,2023-11-24,False
WX01,Denver,West,18,66,18,1,2023,2023-01-18,False
WX03,Austin,South,79,54,31,5,2023,2023-05-31,False
WX04,Miami,South,66,92,17,10,2022,2022-10-17,False
WX04,Miami,South,90,84,7,8,2022,2022-08-07,False
WX08,Fargo,North,40,80,22,12,2022,2022-12-22,False
WX07,Chicago,North,89,68,3,6,2023,2023-06-03,False
WX07,Chicago,North,57,20,18,10,2022,2022-10-18,False
WX01,Denver,West,92,93,26,7,2022,2022-07-26,False
WX02,Seattle,West,45,15,16,4,2022,2022-04-16,False
WX04,Miami,South,32,51,1,2,2023,2023-02-01,True
WX05,Boston,East,53,44,12,5,2023,2023-05-12,True
WX06,Newark,East,15,45,20,1,2023,2023-01-20,False
WX03,Austin,South,90,98,6,7,2022,2022-07-06,False
WX01,Denver,West,79,31,30,6,2022,2022-06-30,True
WX03,Austin,South,51,62,3,10,2022,2022-10-03,False
WX07,Chicago,North,87,29,11,9,2022,2022-09-11,False
WX08,Fargo,North,81,92,29,5,2022,2022-05-29,False
WX08,Fargo,North,32,76,19,11,2023,2023-11-19,False
WX05,Boston,East,82,47,29,8,2022,2022-08-29,False
WX01,Denver,West,80,17,2,7,2022,2022-07-02,False
WX08,Fargo,North,43,23,19,3,2023,2023-03-19,False
WX02,Seattle,West,83,32,8,8,2023,2023-08-08,False
WX03,Austin,South,9,46,6,12,2022,2022-12-06,True
WX08,Fargo,North,73,90,3,5,2023,2023-05-03,False
WX05,Boston,East,41,20,11,3,2022,2022-03-11,False
WX02,Seattle,West,28,62,24,1,2023,2023-01-24,True
WX05,Boston,East,24,41,18,2,2022,2022-02-18,False
WX01,Denver,West,52,14,11,4,2022,2022-04-11,True
WX03,Austin,South,53,66,9,3,2023,2023-03-09,False
WX08,Fargo,North,73,74,30,5,2022,2022-05-30,False
WX03,Austin,South,26,97,27,1,2022,2022-01-27,False
WX08,Fargo,North,68,56,11,5,2022,2022-05-11,False
WX05,Boston,East,96,39,19,7,2023,2023-07-19,False
WX06,Newark,East,26,87,5,3,2023,2023-03-05,False
